Approval,GMDN,GMDN Description,Recommended UNSPSC,UNSPSC Description,
,47745,Bone matrix implant mixer,42296702,Surgical bone cement mixers,
,47748,"Orthopaedic fixation plate bending insert, reusable",42321505,Bone plates,
,47749,"Orthopaedic fixation plate bending insert, single-use",42321505,Bone plates,
,47759,"Orthopaedic bone-fragment manipulator, single-use, non-sterile",42296816,Orthopedic surgical instruments,
,47762,"Ulna nail, non-sterile",42321504,Intramedullary nails or rods,
,47763,"Wound hydrogel dressing, non-sterile",42311515,Hydrocolloid dressings,
,47779,Orthopaedic instrument connecting screw,42296817,Surgical instrument accessories,
,47786,Orthopaedic implant aiming arm,42293406,Surgical implant positioners and holders,
,47788,Spiral blade,42291613,Surgical scalpels or knives or blades or trephines,
,47807,Orthopaedic implant/trial-implant holder,42322007,Orthopedic toe implant sizer sets,
,47814,Orthopaedic implant hammering attachment,42292502,Surgical hammers or mallets,
,47815,Orthopaedic implant aiming/guiding block,42293406,Surgical implant positioners and holders,
,47829,Surgical instrument handle,42296817,Surgical instrument accessories,
,47830,Surgical instrument torque-limiting handle,42296817,Surgical instrument accessories,
,47831,"Surgical instrument sleeve, reusable",42131709,Surgical sleeves,
,47831,"Surgical instrument sleeve, reusable",42131709,Surgical sleeves,
,47845,Surgical power tool adaptor,42295215,Surgical power equipment accessories,
,47847,"Orthopaedic implant/instrument adaptor, reusable",42296816,Orthopedic surgical instruments,
,47848,"Open-surgery electrosurgical handpiece/electrode, bipolar, reusable",42295104,Electrosurgical or electrocautery equipment,
,47856,Surgical power tool maintenance unit,42295215,Surgical power equipment accessories,
,47858,Surgical instrument torque limiter,42296817,Surgical instrument accessories,
,47860,Surgical air pipeline regulator,42296817,Surgical instrument accessories,
,47862,Orthopaedic feeler,42296816,Orthopedic surgical instruments,
,47863,Orthopaedic implant/instrument depth limiter,42296816,Orthopedic surgical instruments,
,47864,Surgical power tool hand-switch,42295215,Surgical power equipment accessories,
,47865,Surgical drilling suction device,42293522,Medical or surgical suction or vacuum appliances,
,47866,Orthopaedic implant/instrument dismantling device,42296816,Orthopedic surgical instruments,
,47867,Surgical power tool battery-exchange sterility cover,42281903,Sterilization dust covers,
,47870,Orthopaedic fixation implant alignment tool,42293406,Surgical implant positioners and holders,
,47872,Bone graft funnel,42295545,Bone graft extender or void fillers or substitutes,
,47873,Pelvic C-clamp,42291802,Surgical clamps or clips or forceps,
,47874,Orthopaedic ball spike,42296816,Orthopedic surgical instruments,
,47875,Surgical power tool adaptor,42295215,Surgical power equipment accessories,
,47886,Surgical power tool irrigation-control device,42295215,Surgical power equipment accessories,
,47900,Orthopaedic implant calibration pin,42293406,Surgical implant positioners and holders,
,47901,Bone nail dummy,42321504,Intramedullary nails or rods,
,47904,Orthopaedic bone-reduction tool,42296816,Orthopedic surgical instruments,
,47905,Orthopaedic medialization instrument,42296816,Orthopedic surgical instruments,
,47927,"Femoral artery compression instrument, single-use",42293308,Surgical compressors,
,47930,Temporary mandibular condyle prosthesis,42242002,Upper extremity prosthetic devices,
,47951,Surgical power tool drive-shaft seal,42295215,Surgical power equipment accessories,
,47986,Female stress urinary incontinence surgical mesh,42295513,Surgical mesh or tissue barriers,
,47996,Orthodontic anchor plate,42321505,Bone plates,
,47997,Bone grafting cannula,42295545,Bone graft extender or void fillers or substitutes,
,48019,Wart-removal material, ,#N/A,
,48024,"Orthopaedic bone-fragment manipulator, single-use, sterile",42296816,Orthopedic surgical instruments,
,48025,"Orthopaedic bone-fragment manipulator, reusable",42296816,Orthopedic surgical instruments,
,48044,"Dura mater graft, bioengineered",42296103,Dural replacement or repair devices,
,48055,Ceramic acetabular liner,42321703,Acetabular cup liners,
,48056,Metallic acetabular liner,42321703,Acetabular cup liners,
,48059,Reverse shoulder prosthesis base plate,42321505,Bone plates,
,48066,Knee stem,42321802,Femoral knee extension stems,
,48067,Knee arthroplasty wedge,42321813,Femoral knee wedges,
,48068,"Uncoated unicondylar knee tibia prosthesis, metallic",42242001,Lower extremity prosthetic devices,
,48069,"Uncoated unicondylar knee tibia prosthesis, polyethylene",42242001,Lower extremity prosthetic devices,
,48070,Unicondylar knee insert,42321801,Femoral knee components,
,48082,Contact lens wetting solution,42142914,Contact lens cleaning or moisturizing solutions,
,48088,Stem-fixed humeral head prosthesis,42242002,Upper extremity prosthetic devices,
,48089,Resurfacing humeral head prosthesis,42321904,Resurfacing humeral components,
,48090,Press-fit shoulder humeral stem prosthesis,42321903,Humeral stems,
,48090,Press-fit shoulder humeral stem prosthesis,42321903,Humeral stems,
,48091,Reverse shoulder prosthesis base plate,42242005,Prosthetic clamping device accessories,
,48092,Polyethylene reverse shoulder prosthesis cup,42321909,Humeral shells or sockets,
,48140,Sinus balloon catheter,42271710,Medical nasal catheters or catheterization kits,
,48141,Sinus irrigation catheter,42293501,Irrigation or suction handpieces or cannulas or tips or catheters,
,48142,Sinus guide-catheter,42293520,Irrigation or suction handpiece or cannula or tip or catheter accessories,
,48143,Sinus guide-catheter handle,42293520,Irrigation or suction handpiece or cannula or tip or catheter accessories,
,48144,Sinus-illumination light guide cable,42294990,Endoscopic or surgical light source accessories,
,48155,Dura mater biomatrix implant,42296103,Dural replacement or repair devices,
,48164,"Cervical total disc replacement prosthesis, sterile",42321601,Intervertebral discs,
,48165,Lumbar total disc replacement prosthesis,42321601,Intervertebral discs,
,48180,Ankle prosthesis bearing,42322001,Ankle joint implants,
,48181,Coated ankle talus prosthesis,42322001,Ankle joint implants,
,48189,Lumbar cerebrospinal fluid drainage kit,42295603,Lumbar cerebrospinal fluid drains or kits,
,49479,"Human parainfluenza virus 4B nucleic acid IVD, control", ,#N/A,
,52522,"Humeral head trial prosthesis, single-use",42322103,Shoulder trial implant sizers,
,52751,"04 Electro mechanical medical devices , 10 Single-use devices ",42294914,Endoscopic instrument sets,
,53303,"Glucose IVD, kit, electrometry", ,#N/A,
,55791,"Rifabutin IVD, control", ,#N/A,
,55833,"Press-fit hip femur prosthesis, modular",42242001,Lower extremity prosthetic devices,
,55851,"Flexible bone nail, sterile",42321504,Intramedullary nails or rods,
,56296,"Open-surgery electrosurgical handpiece/electrode, bipolar, single-use",42295104,Electrosurgical or electrocautery equipment,
,56302,Craniotomy kit,42294215,Craniotomy surgical instrument sets,
,56636,Syringe lock,42142615,Syringe accessories,
,56637,Orthopaedic bone distractor,42296816,Orthopedic surgical instruments,
,56640,"Orthopaedic implant/instrument adaptor, single-use",42296816,Orthopedic surgical instruments,
,56642,"Orthopaedic bone screw, non-bioabsorbable, non-sterile",42321506,Bone screws,
,56643,"Femur nail, non-sterile",42321504,Intramedullary nails or rods,
,56644,"Humerus nail, non-sterile",42321504,Intramedullary nails or rods,
,56649,Graft preparation station, ,#N/A,
,56684,"Home-use/point-of-care glucose analyser IVD, battery-powered", ,#N/A,
,56706,"Laboratory fluorescent immunoassay analyser IVD, semi-automated", ,#N/A,
,56710,Acetabulum prosthesis apical hole plug,42321721,Acetabular hole eliminators or plugs,
,56915,"Multiple CD cell marker IVD, kit, enzyme immunohistochemistry",42292802,Surgical marking instruments for general use,
,56919,"Multiple CD cell marker IVD, control",42292802,Surgical marking instruments for general use,
,57797,Physiology-monitoring sedation/anaesthesia system cannula,42271515,Respiratory monitoring kit accessories,
,57805,"Metallic spinal fusion cage, non-sterile",42321605,Spinal interbody cages or spacers,
,57806,"Vertebral body prosthesis, non-sterile",42242002,Upper extremity prosthetic devices,
,57825,Electrosurgical/ultrasonic surgical system generator,42295104,Electrosurgical or electrocautery equipment,
,57871,"Specimen processing instrument IVD, automated", ,#N/A,
,57874,"Suture/needle passer, single-use",42292904,Surgical suture or wire passers or related products,
,57956,"Rigid endoscopic grasping forceps, single-use",42294908,Endoscopic clamp or dissector or grasper or forceps,
,58007,"Rectal dilator, single-use",42182001,Anal or rectal exam speculas,
,58016,Colorectal sizer,42293004,Surgical sizing instruments or templates,
,58017,Ultrasonic surgical system handpiece/generator tester,42295167,Surgical suction machine or vacuum extractor or ultrasonic Surgical aspirator or regulator accessories,
,58029,"Foot-switch, pneumatic",42295214,Surgical pneumatic or battery or electric saw or drill or pin driver accessories,
,58040,Laparoscopic clip applier,42312006,Medical clip appliers for internal use,
,58044,"Dura mater graft, synthetic",42296103,Dural replacement or repair devices,
,58050,Ligation clip cartridge holder,42281510,Sterilization instrument clips or racks or stringers or holders,
,58068,Electrosurgical/ultrasonic surgical system tester interface,42295104,Electrosurgical or electrocautery equipment,
,58147,Blood collection Luer-syringe adaptor,42142616,Blood collection syringes,
,58173,Thrombectomy suction catheter,42144406,Suction catheters,
,58188,Rechargeable battery/line-powered surgical sawing system handpiece,42295211,Surgical powered saw blades,
,58293,"Epidural needle, non-threaded",42142502,Anesthesia needles,
,58297,"Compartmental-pressure monitoring system, reusable",42181908,Intracompartmental pressure monitoring sets,
,58387,Surgical cutting/shaping board,42291608,Surgical cutting blocks or boards or platforms,
,58479,Femoral head trial prosthesis,42242002,Upper extremity prosthetic devices,
,58480,"Acetabulum trial prosthesis, reusable",42293004,Surgical sizing instruments or templates,
,58481,Femoral stem trial prosthesis,42291605,Surgical broaches,
,58483,"Endoscopic motorized cutting stapler, single-use",42312009,Medical staplers for internal use,
,58714,Patella trial prosthesis,42242001,Lower extremity prosthetic devices,
,58715,Knee femur trial prosthesis,42322101,Knee trial implant sizers,
,58716,Knee tibia trial prosthesis,42322101,Knee trial implant sizers,
,58772,Femoral head sphericity template,42293004,Surgical sizing instruments or templates,
,58776,"Surgical screwdriver, single-use, sterile",42292402,Surgical drivers,
,58784,"Humeral head trial prosthesis, reusable",42321902,Humeral heads,
,58804,"Surgical implant template, single-use",42293004,Surgical sizing instruments or templates,
,58856,"Invasive breast implant sizer, reusable",42295536,Breast implant volume mammary sizers,
,58864,Endometrial-ablation hyperthermia catheter,42295803,Surgical thermo ablation catheters,
,58865,Vascular catheter introduction set,42203403,Diagnostic or interventional vascular catheter introducers,
,58908,"Cranial bone prosthesis, custom-made",42242002,Upper extremity prosthetic devices,
,58910,Total knee prosthesis implantation guide-instrument kit,42321808,Total knee replacement kits or systems,
,58927,"Orthopaedic prosthesis implantation instrument, single-use",42296816,Orthopedic surgical instruments,
,58984,Intraoperative freestanding patient positioning frame,42295111,Operating room patient positioning devices for general use,
,59009,Orthopaedic implant/instrument assembling device,42296816,Orthopedic surgical instruments,
,59036,Tissue expander injection port,42295509,Plastic or cosmetic tissue expanders or sets,
,59230,"Hypodermic needle, single-use, sterile",42142523,Hypodermic needle,
,59281,Antisnoring mucosa lubricant,42181503,Exam or personal lubricants or jellies,
,59676,"Pelvic organ prolapse surgical mesh, composite-polymer",42295513,Surgical mesh or tissue barriers,
,59688,Femoral head/stem prosthesis adaptor,42321710,Femoral modular hip component adapters,
,59870,"Open-surgery manual linear cutting stapler, single-use",42312009,Medical staplers for internal use,
,59871,"Endoscopic manual linear cutting stapler, single-use",42312009,Medical staplers for internal use,
,59872,"Open-surgery manual linear stapler, reusable",42312009,Medical staplers for internal use,
,59873,"Open-surgery manual linear stapler, single-use",42312009,Medical staplers for internal use,
,59874,Endoscopic manual linear stapler,42312009,Medical staplers for internal use,
,59875,"Intraluminal circular stapler, single-use",42312009,Medical staplers for internal use,
,60300,"Abdominal hernia surgical mesh, synthetic polymer",42295513,Surgical mesh or tissue barriers,
,60367,"Cervical spine immobilization system, single-use",42321518,External bone fixation sets,
,60447,Surgical power tool maintenance adaptor,42295215,Surgical power equipment accessories,
,60512,Shoulder humeral body prosthesis,42321911,Humeral bodies,
,60516,Metallic acetabulum prosthesis,42321714,Acetabular augments,
,60538,IV line/syringe Luer connector,42212306,Syringe adaptors or holders,
,60540,Intravenous fluid bag spike,42221611,Intravenous tubing spikes or caps or protectors,
,60637,"Vascular embolization coil detacher, single-use", ,#N/A,
,60762,"Polymeric spinal fusion cage, non-sterile",42321605,Spinal interbody cages or spacers,
,60842,"Pelvic organ prolapse surgical mesh, synthetic polymer",42295513,Surgical mesh or tissue barriers,
,60847,"Polymeric spinal fusion cage, sterile",42321605,Spinal interbody cages or spacers,
,60931,Reverse shoulder head trial prosthesis,42293004,Surgical sizing instruments or templates,
,60936,Humeral stem trial prosthesis,42321903,Humeral stems,
,60937,Reverse shoulder cup trial prosthesis,42293004,Surgical sizing instruments or templates,
,60939,Neurovascular embolization plug, ,#N/A,
,60940,Neurovascular embolization coil,42203413,Vascular coils,
,61029,Screw-extraction orthopaedic reamer,42295204,Surgical power reamers,
,61085,Powered bone mill motor,42295215,Surgical power equipment accessories,
,61118,Cerebrospinal fluid catheter connector,42293520,Irrigation or suction handpiece or cannula or tip or catheter accessories,
,61123,Ventriculo-peritoneal/atrial shunt,42295512,Surgical implantable shunts or shunt extenders,
,61154,"Flexible bone nail, non-sterile",42321504,Intramedullary nails or rods,
,61158,Atrial cerebrospinal fluid catheter,42293501,Irrigation or suction handpieces or cannulas or tips or catheters,
,61159,Peritoneal/atrial cerebrospinal fluid catheter,42161506,Peritoneal dialysis catheters or indwelling access devices,
,61211,"Manual orthopaedic bender, single-use",42292301,Surgical bending instruments,
,61271,Femoral stem centralizer,42321705,Femoral stem distal centralizers,
,61286,Microwave ablation system probe,42295144,Microwave surgical units,
,61287,Microwave ablation system generator,42295144,Microwave surgical units,
,61324,"Bone-screw internal spinal fixation system, sterile",42321507,Internal bone fixation sets,
,61325,"Bone-screw internal spinal fixation system, non-sterile",42321507,Internal bone fixation sets,
,61375,Cranial port/reservoir,42293507,Surgical suction reservoirs,
,61376,"Intracerebral infusion/drainage catheter, long-term",42295601,Cerebral ventricular or hydrocephalus drainage catheters or adapters,
,61398,Intracerebral sensor catheter,42203402,Diagnostic or interventional vascular catheters for general use,
,61399,"Intracerebral infusion/drainage catheter, short-term",42295601,Cerebral ventricular or hydrocephalus drainage catheters or adapters,
,61401,Intracerebral catheter cranial-fixation kit,42296107,Cranial clamps,
,61425,"Laparoscopic trocar, single-use",42294979,Surgical trocars for general use,
,61440,Intracerebral trocar,42294979,Surgical trocars for general use,
,61465,"Internal spinal fixation system cable, non-sterile",42321507,Internal bone fixation sets,
,61523,Lumboperitoneal shunt,42295512,Surgical implantable shunts or shunt extenders,
,61556,"Sleeve femoral/tibial extension, coated",4231710,#N/A,
,61622,"Intraluminal circular stapler, reusable",42312009,Medical staplers for internal use,
,61623,"Haemorrhoidal surgical stapler, reusable",42312009,Medical staplers for internal use,
,61624,"Open-surgery manual linear cutting stapler, reusable",42312009,Medical staplers for internal use,
,61668,"Orthopaedic bone staple, non-adjustable, non-sterile",42321514,Bone fixation staples,
,61668,"Orthopaedic bone staple, non-adjustable, non-sterile",42321514,Bone fixation staples,
,61669,"Orthopaedic bone staple, non-adjustable, sterile",42321514,Bone fixation staples,
,61670,"Orthopaedic bone washer, non-sterile",42321509,Orthopedic washers,
,61671,"Orthopaedic bone washer, sterile",42321509,Orthopedic washers,
,61688,"Internal orthopaedic fixation system, plate/screw, non-bioabsorbable, sterile",42321507,Internal bone fixation sets,
,61689,"Internal orthopaedic fixation system, plate/screw, non-bioabsorbable, non-sterile",42321507,Internal bone fixation sets,
,61690,"Internal orthopaedic fixation system, cerclage wire/cable, sterile",42321507,Internal bone fixation sets,
,61691,"Internal orthopaedic fixation system, cerclage wire/cable, non-sterile",42321507,Internal bone fixation sets,
,61754,"Vascular embolization coil detacher, reusable", ,#N/A,
,61785,Cardiac radio-frequency ablation system catheter,42203416,Cardiac ablation catheters,
,61797,Lumbar cerebrospinal fluid drainage catheterization kit,42295603,Lumbar cerebrospinal fluid drains or kits,
,61798,Ventricular cerebrospinal fluid drainage catheterization kit,42295453,Surgical drains or drain sets,
,61800,"Arthroscopic shaver system blade, reprocessed",42295216,Surgical shaver equipment or handpiece accessories,
,61801,"Blood pressure cuff, reprocessed",42181605,Blood pressure cuffs or bladders,
,61809,"Single-chamber venous compression system garment, reprocessed",42142801,Vascular sequential compression devices or tubing,
,61810,"Multi-chamber venous compression system garment, reprocessed",42142801,Vascular sequential compression devices or tubing,
,61811,"Diagnostic ultrasound cardiac catheter, steerable, reprocessed",42201711,Medical ultrasound or doppler or echocardiograph transducers or accessories,
,61812,"Electrocardiographic lead, reprocessed",42181702,Electrocardiography EKG adapters or cables or leads,
,61813,"Laparoscopic trocar/sleeve, reprocessed",42294979,Surgical trocars for general use,
,61814,"Laparoscopic trocar, reprocessed",42294979,Surgical trocars for general use,
,61817,"Endoscopic electrosurgical handpiece/electrode, bipolar, reprocessed",42294924,Endoscopic monopolar or bipolar hand instruments,
,61823,"Suture/needle passer, reprocessed",42292904,Surgical suture or wire passers or related products,
,61825,"Tourniquet cuff, reprocessed",42295311,Surgical tourniquet or vascular occluder or ligator accessories,
,61845,"Soft-tissue ultrasonic surgical system holder/tip, reprocessed",42295167,Surgical suction machine or vacuum extractor or ultrasonic Surgical aspirator or regulator accessories,
,61854,Intracerebral cannula,42291711,Ventricular cannulas or needles,
,61869,"Open-surgery electrosurgical handpiece/electrode, monopolar, single-use",42295104,Electrosurgical or electrocautery equipment,
,61872,"Endoscopic electrosurgical electrode, bipolar, single-use",42294910,Endoscopic monopolar or bipolar cable,
,61875,"Endoscopic electrosurgical electrode, monopolar, single-use",42294910,Endoscopic monopolar or bipolar cable,
,61917,Osteotomy guide,42312120,Ostomy measuring guides or cards,
,61945,Corn dressing,42311515,Hydrocolloid dressings,
,61951,"Endoscopic electrosurgical electrode, bipolar, reprocessed",42294910,Endoscopic monopolar or bipolar cable,
,61952,Intravenous pole device connector,42222105,Intravenous or arterial line pole or stand accessories,
,62109,Endoscopic oesophageal dilator,42294909,Endoscopic dilators or inflation devices,
,62116,Red/blue light phototherapy mask system,42143713,Phototherapy units,
,10718,"Eustachian catheter, single-use",,#N/A,
